epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,234.903,0.39139,0.3091,1.09971,0.34641,0.54167,0.3204,0.07566,3.28141,1.98137,4.16055,0.000685372,0.000685372,0.000685372
83,237.741,0.38286,0.30678,1.1144,0.55751,0.66667,0.6201,0.22057,2.55975,2.02064,3.89387,0.000685019,0.000685019,0.000685019
84,240.591,0.3827,0.27407,1.08669,0.65779,0.70833,0.69064,0.24362,2.42094,1.7823,4.22747,0.000684665,0.000684665,0.000684665
85,243.433,0.45824,0.32342,1.10563,0.75454,0.79167,0.79145,0.2553,2.24018,1.59821,3.49158,0.000684312,0.000684312,0.000684312
86,246.299,0.45697,0.33495,1.13426,0.75275,0.70833,0.75574,0.39109,1.49599,1.39291,2.42285,0.000683958,0.000683958,0.000683958
87,249.142,0.38375,0.29899,1.0916,0.8988,0.74052,0.8928,0.57029,1.13107,0.92603,1.81306,0.000683605,0.000683605,0.000683605
88,252.024,0.40342,0.30534,1.11798,0.48648,0.70833,0.55556,0.33374,1.57949,1.57635,2.16096,0.000683252,0.000683252,0.000683252
89,254.863,0.37801,0.3051,1.08339,0.46472,0.75,0.56775,0.30035,1.70734,2.3459,2.58194,0.000682898,0.000682898,0.000682898
90,257.706,0.38316,0.30798,1.07565,0.73866,0.95833,0.85029,0.48691,1.17349,1.18749,2.01849,0.000682545,0.000682545,0.000682545
91,260.558,0.37283,0.2912,1.08191,0.83716,0.85727,0.90059,0.59323,0.95104,1.24492,1.73246,0.000682191,0.000682191,0.000682191
92,263.434,0.3626,0.28751,1.05876,0.71971,0.85626,0.86952,0.60056,0.93163,1.0731,1.75219,0.000681838,0.000681838,0.000681838
93,266.282,0.43725,0.34511,1.13716,0.72614,0.99447,0.90117,0.56114,1.01719,1.01612,1.82544,0.000681484,0.000681484,0.000681484
94,269.143,0.35477,0.30624,1.05988,0.92231,0.98961,0.9765,0.77444,0.66885,0.67478,1.30362,0.000681131,0.000681131,0.000681131
95,271.987,0.4157,0.29042,1.09266,0.95388,0.91667,0.9838,0.82142,0.59677,0.54221,1.17064,0.000680778,0.000680778,0.000680778
96,274.849,0.37236,0.30103,1.09644,0.98362,0.95833,0.99056,0.85329,0.57816,0.46744,1.12053,0.000680424,0.000680424,0.000680424
97,277.719,0.45587,0.3081,1.10333,0.91795,1,0.95798,0.77587,0.70056,0.64685,1.31635,0.000680071,0.000680071,0.000680071
98,280.565,0.34923,0.26023,1.05837,0.88791,1,0.957,0.74991,0.73052,0.70107,1.43719,0.000679717,0.000679717,0.000679717
99,283.414,0.34215,0.26708,1.06685,0.84624,1,0.92396,0.68863,0.96423,0.7931,1.57741,0.000679364,0.000679364,0.000679364
100,286.266,0.36218,0.28128,1.06776,0.99586,1,0.995,0.84458,0.75189,0.58805,1.33341,0.00067901,0.00067901,0.00067901
101,289.118,0.4041,0.2993,1.10824,0.9224,0.99088,0.99026,0.68902,1.06019,0.80579,1.7605,0.000678657,0.000678657,0.000678657
102,291.98,0.3733,0.25567,1.08316,0.87619,0.88489,0.87457,0.39159,1.85395,1.15358,3.1071,0.000678304,0.000678304,0.000678304
103,294.836,0.43757,0.31359,1.14097,0.86421,0.95833,0.87392,0.30991,2.10124,1.43733,3.5069,0.00067795,0.00067795,0.00067795
104,297.681,0.42594,0.3142,1.13608,0.8883,0.99431,0.92529,0.41892,1.80686,1.13734,3.21471,0.000677597,0.000677597,0.000677597
